carat	cut	color	clarity	price
0.17	4	5	4	194
0.17	3	10	8	335
0.17	2	9	5	266
0.18	4	10	8	362
0.18	4	10	5	294
0.18	4	9	9	389
0.18	3	7	4	273
0.18	4	10	6	328
0.18	2	10	5	272
0.18	4	9	6	293
0.18	4	10	7	362
0.18	3	5	5	273
0.18	4	7	5	326
0.18	4	8	6	293
0.18	4	9	5	272
0.18	4	7	6	322
0.18	4	6	6	326
0.18	3	7	4	271
0.18	4	6	9	354
0.18	2	5	5	271
0.18	4	10	9	389
0.18	2	7	5	277
0.18	4	9	4	276
0.18	4	8	9	389
0.18	4	8	9	389
0.18	3	8	5	272
0.18	4	7	5	322
0.18	4	6	5	279
0.18	4	10	7	352
0.18	3	6	8	354
0.18	2	10	5	277
0.18	4	9	4	276
0.18	4	4	8	247
0.18	3	10	5	272
0.18	4	8	6	293
0.18	3	10	6	294
0.18	3	10	6	328
0.18	4	9	4	276
0.18	4	9	5	294
0.18	4	10	6	297
0.18	3	8	3	259
0.18	2	10	9	372
0.18	4	10	6	328
0.18	3	10	7	362
0.18	4	9	5	294
0.18	2	10	7	352
0.18	4	10	6	328
0.18	4	10	7	362
0.18	4	7	9	354
0.18	4	10	9	467
0.18	4	10	6	328
0.18	3	9	5	275
0.18	4	8	8	362
0.18	4	8	6	294
0.18	3	10	8	362
0.18	3	8	4	275
0.18	4	7	8	354
0.18	3	10	5	283
0.18	4	6	9	354
0.18	4	9	4	280
0.18	4	9	4	276
0.18	4	9	9	362
0.18	4	2	5	150
0.18	3	10	8	362
0.18	4	10	6	297
0.18	4	8	3	259
0.18	4	8	4	276
0.18	4	10	6	328
0.18	4	10	6	328
0.18	3	8	5	272
0.18	2	10	5	277
0.18	3	6	6	279
0.18	3	10	8	362
0.18	3	6	6	312
0.18	4	8	8	362
0.18	4	5	4	234
0.18	4	10	4	276
0.18	3	10	6	297
0.18	3	9	3	259
0.18	3	9	4	275
0.18	3	9	4	273
0.18	4	10	9	467
0.18	2	7	4	272
0.18	3	8	6	277
0.18	1	9	8	334
0.18	4	7	9	354
0.18	3	9	4	271
0.18	4	9	8	389
0.18	4	8	9	372
0.18	2	10	6	297
0.18	3	10	6	297
0.18	3	4	9	247
0.18	4	5	6	286
0.18	4	10	6	328
0.18	2	5	4	232
0.18	2	10	8	334
0.18	3	10	4	273
0.18	4	8	5	294
0.18	3	9	4	275
0.18	3	8	4	275
0.18	3	10	7	352
0.18	3	9	6	292
0.18	4	8	9	389
0.18	2	6	6	282
0.18	3	9	6	292
0.18	3	10	6	297
0.18	4	8	9	385
0.18	3	10	9	389
0.18	4	8	8	362
0.18	4	9	8	360
0.18	3	10	7	352
0.18	3	9	8	360
0.18	4	10	8	389
0.18	4	10	7	352
0.18	4	5	4	195
0.18	3	6	6	312
0.18	2	10	6	294
0.18	3	10	5	277
0.18	4	8	8	362
0.18	2	10	7	352
0.18	1	10	8	331
0.18	4	5	5	217
0.18	3	10	7	352
0.18	3	8	8	360
0.18	4	10	3	260
0.18	3	10	7	352
0.18	3	10	6	297
0.18	3	10	6	328
0.18	3	10	7	352
0.18	3	10	6	297
0.18	3	10	8	334
0.18	2	9	8	352
0.18	4	10	6	294
0.18	3	10	6	297
0.18	3	10	6	297
0.18	3	10	6	294
0.18	2	10	4	273
0.18	4	9	7	389
0.18	3	6	6	332
0.18	4	4	4	195
0.18	1	10	5	272
0.18	2	9	7	327
0.18	3	9	8	352
0.18	2	10	4	273
0.18	4	10	7	352
0.18	1	9	5	277
0.18	3	9	6	292
0.18	4	5	6	273
0.18	3	9	4	276
0.18	4	10	6	328
0.18	3	9	6	292
0.18	2	9	8	334
0.18	3	9	7	327
0.18	4	10	4	273
0.18	4	8	8	389
0.18	4	9	8	389
0.18	4	10	8	389
0.18	4	9	6	293
0.18	4	9	8	389
0.18	3	9	7	327
0.18	3	7	6	322
0.18	4	8	9	372
0.18	4	5	7	312
0.18	3	10	8	362
0.18	3	9	7	327
0.18	4	8	5	275
0.18	3	6	5	319
0.18	3	10	5	275
0.18	4	9	9	389
0.18	3	10	6	328
0.18	4	7	9	354
0.18	4	10	6	328
0.18	2	9	6	292
0.18	3	7	6	312
0.18	4	7	5	309
0.18	3	10	8	362
0.18	4	8	7	362
0.18	3	9	4	273
0.18	4	4	7	247
0.18	4	10	7	362
0.18	4	6	5	322
0.18	4	6	5	259
0.18	1	7	4	271
0.18	4	8	5	277
0.18	4	9	7	362
0.18	4	7	9	378
0.18	3	10	6	297
0.18	3	8	4	275
0.18	3	7	7	309
0.18	2	10	5	277
0.18	4	9	7	389
0.18	3	10	8	362
0.18	4	8	4	276
0.18	2	8	5	272
0.18	4	8	9	389
0.18	2	10	6	294
0.18	4	10	8	359
0.18	4	10	8	374
0.18	4	8	8	362
0.18	1	9	6	272
0.18	4	4	6	221
0.18	4	8	9	389
0.18	3	9	8	360
0.18	3	5	5	273
0.18	2	8	4	275
0.18	4	8	8	389
0.18	4	10	9	467
0.18	4	6	5	259
0.18	4	10	5	283
0.18	3	5	4	195
0.18	3	7	5	312
0.18	3	9	8	360
0.18	4	7	8	378
0.18	3	8	5	272
0.18	4	9	7	362
0.18	4	9	8	389
0.18	4	5	4	195
0.18	4	10	9	467
0.18	1	5	7	247
0.18	1	6	5	259
0.18	3	10	5	277
0.18	2	2	4	180
0.18	4	9	6	294
0.18	3	6	5	259
0.18	4	6	9	290
0.18	1	9	5	274
0.18	4	10	8	362
0.18	4	8	9	372
0.18	2	10	9	389
0.18	3	9	3	259
0.18	3	10	4	273
0.18	4	8	8	362
0.18	4	10	5	283
0.18	4	9	8	362
0.18	3	10	5	295
0.18	4	10	6	316
0.18	4	9	6	316
0.18	4	10	5	316
0.18	4	9	5	316
0.19	4	8	5	311
0.19	2	10	6	313
0.19	2	10	7	372
0.19	3	8	4	288
0.19	3	9	8	372
0.19	3	10	7	372
0.19	4	6	8	399
0.19	2	9	4	290
0.19	1	8	7	326
0.19	3	5	6	231
0.19	4	8	7	336
0.19	2	9	7	346
0.19	4	8	5	311
0.19	4	10	5	311
0.19	2	9	6	287
0.19	3	10	6	313
0.19	3	9	6	308
0.19	4	9	5	311
0.19	4	3	9	247
0.19	4	5	5	234
0.19	4	9	8	382
0.19	4	8	9	388
0.19	4	8	8	388
0.19	3	9	3	272
0.19	4	4	5	234
0.19	4	5	6	234
0.19	4	10	9	493
0.19	3	9	8	372
0.19	3	10	6	313
0.19	2	10	7	368
0.19	4	10	6	313
0.19	4	8	5	287
0.19	3	10	6	313
0.19	4	9	5	311
0.19	4	8	8	382
0.19	2	10	6	313
0.19	4	7	8	399
0.19	4	10	4	291
0.19	4	10	8	388
0.19	4	8	7	382
0.19	4	9	7	388
0.19	4	6	6	273
0.19	2	8	4	290
0.19	4	9	8	388
0.19	4	8	7	379
0.19	4	7	9	399
0.19	4	7	8	399
0.19	3	8	4	290
0.19	4	7	4	291
0.19	4	5	9	261
0.19	4	8	7	382
0.19	3	9	8	380
0.19	3	8	4	290
0.19	4	9	7	382
0.19	4	10	4	295
0.19	4	9	4	295
0.19	4	8	8	388
0.19	4	9	7	388
0.19	4	10	8	368
0.19	4	5	5	286
0.19	4	9	4	295
0.19	4	7	4	268
0.19	3	9	4	177
0.20	4	6	4	311
0.20	4	9	8	492
0.20	3	10	5	330
0.20	3	10	7	387
0.20	3	9	6	324
0.20	2	10	7	387
0.20	2	10	8	368
0.20	4	10	4	311
0.20	4	10	7	601
0.20	4	10	7	409
0.20	3	6	4	311
0.20	4	8	9	492
0.20	4	8	3	285
0.20	4	8	5	376
0.20	4	9	8	492
0.20	4	9	8	492
0.20	4	10	9	544
0.20	4	6	6	365
0.20	4	9	8	492
0.20	2	6	7	383
0.20	4	4	8	289
0.20	4	4	9	289
0.20	4	6	6	358
0.20	4	8	8	409
0.20	4	9	8	409
0.20	4	9	4	244
0.20	4	10	4	308
0.20	3	7	6	362
0.20	3	5	7	289
0.20	4	5	8	289
0.20	4	7	5	362
0.20	3	10	6	330
0.20	4	10	8	601
0.20	4	9	9	497
0.20	4	4	9	289
0.20	4	7	8	394
0.20	4	9	9	497
0.20	4	7	7	393
0.20	3	9	8	492
0.20	4	10	4	311
0.20	4	8	9	492
0.20	3	10	5	321
0.20	4	10	6	351
0.20	4	10	5	351
0.21	4	8	9	516
0.21	4	7	3	322
0.21	3	9	8	394
0.21	4	10	8	406
0.21	4	9	9	516
0.21	4	8	5	395
0.21	4	8	5	395
0.21	4	10	7	631
0.21	4	5	4	235
0.21	4	6	4	304
0.21	3	9	8	394
0.21	4	5	8	304
0.21	4	10	7	631
0.21	4	8	8	516
0.21	4	4	9	304
0.21	4	7	9	430
0.21	4	10	8	631
0.21	4	7	8	414
0.21	4	9	8	502
0.21	3	9	4	322
0.21	4	10	6	383
0.21	4	9	5	369
0.21	2	9	7	369
0.22	4	4	5	286
0.22	4	8	8	541
0.22	4	5	4	247
0.22	4	4	9	318
0.22	4	4	7	318
0.22	4	5	6	286
0.22	3	7	4	332
0.22	4	10	8	622
0.22	1	7	5	345
0.22	3	6	8	409
0.22	3	7	8	409
0.22	4	5	6	286
0.22	4	4	8	318
0.22	4	5	8	318
0.22	4	10	7	622
0.22	4	6	8	409
0.22	2	10	7	402
0.22	4	9	6	400
0.22	4	9	7	449
0.22	3	5	5	366
0.22	3	9	7	386
0.22	2	8	4	205
0.23	4	7	5	386
0.23	3	9	3	343
0.23	3	10	8	543
0.23	3	6	8	468
0.23	4	10	8	651
0.23	2	1	6	230
0.23	2	8	8	545
0.23	3	8	4	349
0.23	4	3	6	233
0.23	4	4	5	300
0.23	4	10	7	651
0.23	3	10	6	402
0.23	4	9	4	333
0.23	4	6	8	468
0.23	4	6	8	385
0.23	4	9	8	611
0.23	4	7	9	428
0.23	4	4	6	300
0.23	4	10	6	470
0.23	4	9	9	565
0.23	4	8	5	429
0.23	4	4	9	408
0.23	4	10	6	470
0.23	3	10	4	349
0.23	4	10	7	651
0.23	3	10	5	407
0.23	4	6	5	343
0.23	3	4	7	349
0.23	4	5	9	349
0.23	4	10	8	651
0.23	4	4	6	300
0.23	4	5	6	300
0.23	4	8	5	429
0.23	4	4	9	349
0.23	4	5	7	397
0.23	3	9	7	460
0.23	4	10	4	356
0.23	2	10	5	403
0.23	3	9	8	560
0.23	4	8	8	611
0.23	4	10	5	470
0.23	2	10	6	395
0.23	4	7	9	468
0.23	4	9	9	565
0.23	3	10	5	403
0.23	4	9	5	403
0.23	4	8	7	532
0.23	3	9	7	544
0.23	2	8	3	308
0.23	4	8	8	611
0.23	4	10	7	651
0.23	4	8	7	580
0.23	4	6	6	376
0.23	4	10	6	487
0.23	4	5	6	300
0.23	4	5	5	300
0.23	4	5	4	283
0.23	4	6	6	376
0.23	4	7	8	509
0.23	2	8	4	349
