title,abbrev,rank,pubdate,collection,avg_chars_per_word,avg_words_per_sentence,num_words,pct_dialog_words_with_exclamation,pct_words_dialog,pct_words_holmes,pct_words_type_name,pct_words_type_noun,pct_words_type_other,pct_words_type_stopword,pct_words_type_verb,pct_words_watson
A STUDY IN SCARLET,STUD,,1887-Nov,novel,4.22282460757,16.1835535977,44084,0.381413088981,48.7682605934,0.222302876327,5.45095726341,16.5638326831,10.4527719808,55.0744034117,12.4580346611,0.0204155702749
THE SIGN OF THE FOUR,SIGN,,1890-Feb,novel,4.07360955921,14.9413969336,43853,0.415521747872,68.0500763916,0.312407360956,5.40669965567,16.4390121542,11.2694684514,55.1501607644,11.7346589743,0.0547282968098
A SCANDAL IN BOHEMIA,SCAN,3,1891-Jul,adventures,4.11656654344,12.8618127786,8656,0.629170638704,60.5938077634,0.554528650647,6.05360443623,16.2315157116,10.4436229205,55.0947319778,12.1765249538,0.0693160813309
THE RED-HEADED LEAGUE,REDH,2,1891-Aug,adventures,4.07717215326,16.1411149826,9265,0.221959159515,72.9411764706,0.572045331894,5.74203993524,16.1252023745,11.3545601727,55.5855369671,11.1926605505,0.107933081489
A CASE OF IDENTITY,IDEN,35,1891-Sep,adventures,4.13693591739,17.7167919799,7069,0.226204976509,81.2986278116,0.650728533032,5.06436553968,14.8252935352,12.5053048522,55.9909463856,11.6140896874,0.0565850898288
THE BOSCOMBE VALLEY MYSTERY,BOSC,29,1891-Oct,adventures,4.06672149686,15.2222222222,9727,0.347608453838,73.9385216408,0.483191117508,5.44875089956,15.420993112,10.599362599,56.7184126658,11.8124807238,0.0411226482986
THE FIVE ORANGE PIPS,FIVE,23,1891-Nov,adventures,4.10147476661,15.20781893,7391,0.292297111417,78.6902990123,0.338249222027,6.19672574753,17.0477607902,9.18684887025,56.081721012,11.48694358,0.0541198755243
THE MAN WITH THE TWISTED LIP,TWIS,12,1891-Dec,adventures,4.03372591006,15.0160771704,9340,0.4538823148,66.0492505353,0.310492505353,6.10278372591,16.7773019272,10.3211991435,54.8715203426,11.9271948608,0.17130620985
THE ADVENTURE OF THE BLUE CARBUNCLE,BLUE,5,1892-Jan,adventures,4.03633392004,14.228980322,7954,0.663680106189,75.7731958763,0.477747045512,5.51923560473,16.5074176515,10.8750314307,55.4815187327,11.6167965803,0.113150616042
THE ADVENTURE OF THE SPECKLED BAND,SPEC,1,1892-Feb,adventures,4.10955734406,16.0841423948,9940,0.535801266439,61.9617706237,0.56338028169,5.41247484909,17.9376257545,10.4426559356,54.4668008048,11.7404426559,0.120724346076
THE ADVENTURE OF THE ENGINEER'S THUMB,ENGR,33,1892-Mar,adventures,4.09728183119,16.350877193,8388,0.448430493274,79.756795422,0.166905102527,5.42441583214,15.3195040534,10.765379113,55.9251311397,12.5655698617,0.0
THE ADVENTURE OF THE NOBLE BACHELOR,NOBL,45,1892-Apr,adventures,4.113556231,13.9880952381,8225,0.311884438608,74.0668693009,0.413373860182,6.60182370821,15.3434650456,11.3556231003,55.1854103343,11.5136778116,0.0851063829787
